date,result,method,rounds,fighter,opponent,fight_time,ground_str_lnd_mean_dif,ground_str_att_mean_dif,sig_str%_mean_dif,total_str_lnd_mean_dif,ctrl_mean_dif
2022-04-16,L,KO/TKO,3,Miguel Baeza,Andre Fialh,20.65,0.20971639928899305,-0.09676369055094795,1.2249178964605385,0.08368044571968439,-0.1227379975728068
2022-04-16,L,KO/TKO,3,William Knight,Devin Clark,15.35,-0.2421103742910879,-0.22393606243996414,-0.06331952038686937,-1.102206891416389,-0.7123036354273695
2022-04-16,W,Decision - Unanimous,3,Mounir Lazzez,Ange Loosa,25.0,,,,,
2022-04-16,L,Decision - Unanimous,3,TJ Larami,Pat Sabatin,25.0,-0.5450252253109731,-0.3949313462637089,-3.046606169928235,-1.6856045487609292,-2.4697349635543455
2022-04-16,L,Decision - Unanimous,3,Wu Yanan,Mayra Bueno Silva,25.0,-0.15301777104994516,-0.14402369361781206,0.34349229545968085,0.5146146666660956,0.7935296179463861
2022-04-16,L,Decision - Unanimous,3,Gadzhi Omargadzhie,Caio Borralho,15.93,,,,,
2022-04-16,W,Decision - Unanimous,5,Belal Muhammad,Vicente Luque,25.0,0.5571775519294496,0.6086992643198786,-0.7413392134644526,1.314297664017284,0.8723887160033656
2022-04-09,L,Decision - Unanimous,3,Josh Frem,Anthony Hernandez,25.0,,,,,
2022-04-09,L,Decision - Unanimous,3,Daniel Santos,Julio Arc,25.0,,,,,
2022-04-09,W,Decision - Unanimous,3,Piera Rodriguez,Kay Hanse,25.0,,,,,
2022-04-09,L,Submission,3,Jared Vandera,Aleksei Oleinik,15.65,-0.23192836249210014,-0.217061880175693,0.41129426476743886,0.7524467177200642,-0.5658510247501213
2022-04-09,L,KO/TKO,3,Mickey Gal,Mike Malott,15.68,,,,,
2022-04-09,L,Decision - Unanimous,3,Aspen Lad,Raquel Pennington,25.0,1.66956234096886,1.644982240658754,-0.5379333055411776,-0.4236218650146987,0.21147437038296432
2022-04-09,L,KO/TKO,5,Chan Sung Jung,Alexander Volkanovski,0.75,-1.4957705770414533,-1.7121965226546674,-0.6735372441566939,-1.1900301946725564,-0.7686315626109261
2022-04-09,L,Decision - Unanimous,3,Darian Week,Ian Garry,25.0,0.38790160577127847,0.35005815662667666,-0.5379333055411771,2.8056573603052435,1.0075757412439021
2022-04-09,W,Decision - Unanimous,3,Mark Madsen,Vinc Pichel,25.0,0.09007776065088713,-0.032318231823405874,0.614700172690714,-0.3794374702088007,-0.25041463252220264
2022-04-09,W,Decision - Split,3,Mackenzie Der,Tecia Torres,25.0,0.3026272569547562,0.21773014803945703,-0.4701313362334192,-1.1911211673838134,0.008693832522159379
2022-04-09,L,Decision - Unanimous,3,Gilbert Burns,Khamzat Chimaev,25.0,-2.5394267864376965,-2.22690091969197,-2.0295766303118605,-0.22751952016630003,0.06502175970571628
2022-04-09,W,Decision - Split,5,Aljamain Sterling,Petr Yan,25.0,-1.0604895726347272,-0.7360626411281644,-0.19892345900238612,-0.5679030060784019,0.6358114218324264
2022-03-26,L,Decision - Unanimous,3,Bruno Souza,Luis Saldan,25.0,0.006076163309238269,0.006349043413119268,0.004482448920888988,-0.3718006612300035,-0.20910748592092746
2022-03-26,L,Decision - Unanimous,3,David Dvorak,Matheus Nicola,25.0,-0.5450252253109731,-0.6088902692391484,-0.605735274848936,-0.5125361409821224,-0.8099387092122013
2022-03-26,L,Decision - Unanimous,3,Jennifer Mai,Manon Fiorot,25.0,-0.5513889826853404,-0.6020160869748772,-0.33452739761790246,-0.2867047897519779,0.08379773543356853
2022-03-26,W,Submission,3,Aliaskhab Khizriev,Denis Tiuliuli,5.97,,,,,
2022-03-26,L,KO/TKO,3,Batgerel Danaa,Chris Gutierrez,10.57,0.4413571677159641,0.4858232563460318,-0.8769431520799686,-0.6808186816934743,-0.33678412087032317
2022-03-26,L,Decision - Unanimous,3,Karol Ros,Sara McMan,25.0,0.716271486288633,0.6224476288484209,0.7503041113062299,3.210135493003679,0.09506332087028
2022-03-26,L,Decision - Unanimous,3,Viacheslav Borshchev,Marc Diakiese,25.0,0.5660868122535639,0.48754180191209956,1.1571159271527802,-0.7945525868419892,-0.603402976205826
2022-03-26,L,Decision - Split,3,Max Griffin,Neil Magny,25.0,-0.972669720868458,-0.7506702784397408,0.34349229545968046,-0.41189390836868855,-0.27670099854119584
2022-03-26,W,Decision - Unanimous,3,Kai Kara-France,Askar Askarov,25.0,0.4299024044421029,0.5399574416771672,-0.8769431520799686,-0.094420849392978,-1.2154997849338112
2022-03-26,W,Decision - Split,3,Bryan Barberena,Matt Brown,25.0,0.03153119280670753,0.0243937718568311,-0.5379333055411771,1.7146846490485066,-0.2729458033956253
