,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
9407,Eiji Mitsuoka,18,9.0,2,170.18,65.25,174.36,Southpaw,46,1.49,0.49,2.26,0.45,2.3,0.36,0.2,1.6
9408,Jason MacDonald,25,1.0,-0,190.5,83.25,203.2,Orthodox,47,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0
9409,Roque Martinez,15,8.0,2,177.8,112.5,182.88,Orthodox,36,3.28,0.53,4.9,0.56,0.38,0.5,0.53,0.4
9410,Jack May,9,0.0,-0,203.2,114.75,208.19,Switch,41,1.52,0.38,3.29,0.33,0.91,0.33,0.2,0.0
9411,Ricardo Morais,10,4.0,1,203.2,121.5,208.19,Orthodox,55,2.86,0.37,2.39,0.53,0.0,0.0,0.0,0.0
9412,Jesse Moreng,9,0.0,-0,170.18,65.25,174.36,Orthodox,43,1.26,0.4,2.08,0.48,5.56,1.0,1.0,0.0
9413,Sergey Morozov,18,5.0,0,167.64,60.75,170.18,Orthodox,33,3.34,0.48,3.36,0.57,2.87,0.26,0.64,0.0
9414,Koichiro Matsumoto,15,3.0,1,170.18,65.25,174.36,Orthodox,36,1.9,0.26,3.5,0.31,0.0,0.0,0.0,0.0
9415,Joseph Morales,9,0.0,-0,167.64,56.25,175.26,Switch,28,1.58,0.37,1.72,0.6,0.53,0.5,0.23,2.6
9416,Magomed Mustafaev,14,4.0,0,172.72,69.75,180.34,Orthodox,34,2.59,0.58,2.68,0.41,3.31,0.5,0.23,0.4
9417,Lee Murray,8,0.0,-1,190.5,83.25,195.18,Orthodox,45,0.36,0.15,3.28,0.32,0.9,1.0,0.42,1.8
9418,Joe Martin,6,0.0,-0,175.26,76.5,179.56,Orthodox,37.31,0.73,0.4,2.4,0.45,0.0,0.0,0.16,0.0
9419,Cory McKenna,7,0.0,-0,160.02,51.75,147.32,Orthodox,23,3.47,0.42,3.53,0.47,2.06,0.53,0.71,0.6
